tweet_id,user_id,camp_type,community,aspect_prompt
1661210669310709761,1292987188850778112,ALM - Crossing,C1-1,"ideology: 'right', pro entities: [], anti entities: [], neutral entities: ['queen'] based on following aspects pro aspects: ['diversity'], anti aspects: [], neutral aspects: ['story']"
1661362929239728129,825757017683943424,BLM - Bound,C3-2,"ideology: 'left', pro entities: ['democrats'], anti entities: [], neutral entities: ['women', 'girls'] based on following aspects pro aspects: ['americans', 'abortion', 'vote'], anti aspects: [], neutral aspects: []"
1662800227613507586,345723914,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: ['gop'], neutral entities: [] based on following aspects pro aspects: [], anti aspects: [], neutral aspects: ['economy']"
1662973260999409671,1292476725977387008,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: [], neutral entities: [] based on following aspects pro aspects: ['america', 'families'], anti aspects: [], neutral aspects: []"
1663295560772644868,23680580,ALM - Crossing,C1-1,"ideology: 'right', pro entities: [], anti entities: [], neutral entities: [] based on following aspects pro aspects: ['prayers'], anti aspects: [], neutral aspects: []"
1663301586578292741,1490901983787577088,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: [], neutral entities: [] based on following aspects pro aspects: ['work'], anti aspects: [], neutral aspects: []"
1663938035342254086,1540363922355650560,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: [], neutral entities: [] based on following aspects pro aspects: ['family', 'love', 'love'], anti aspects: [], neutral aspects: []"
1661503614861336578,1416899062939389952,BLM - Crossing,C3-3,"ideology: 'left', pro entities: [], anti entities: ['desantis', 'ron desantis'], neutral entities: ['president'] based on following aspects pro aspects: ['jobs'], anti aspects: [], neutral aspects: ['mayor', 'cost']"
1661335991305551872,1385621981828165632,BLM - Bound,C3-2,"ideology: 'left', pro entities: ['left'], anti entities: ['republicans'], neutral entities: ['mlk'] based on following aspects pro aspects: ['law', 'justice'], anti aspects: [], neutral aspects: []"
1662112065798959104,1185680686772039680,BLM - Crossing,C3-3,"ideology: 'left', pro entities: [], anti entities: ['trump', 'desantis'], neutral entities: [] based on following aspects pro aspects: ['vote'], anti aspects: [], neutral aspects: []"
1661765198104133632,760694335356690432,BLM - Crossing,C3-2,"ideology: 'left', pro entities: ['democrats', 'democrats'], anti entities: ['maga republicans'], neutral entities: [] based on following aspects pro aspects: ['house', 'americans'], anti aspects: [], neutral aspects: []"
1661353006334607360,224960682,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: [], neutral entities: [] based on following aspects pro aspects: ['public schools'], anti aspects: [], neutral aspects: []"
1661328210720587779,1413055064,BLM - Bound,C3-2,"ideology: 'left', pro entities: [], anti entities: ['desantis'], neutral entities: [] based on following aspects pro aspects: ['proof'], anti aspects: [], neutral aspects: []"
1661625428623368192,57314631,ALM - Crossing,C1-3,"ideology: 'right', pro entities: [], anti entities: [], neutral entities: [] based on following aspects pro aspects: ['police', 'gun', 'school'], anti aspects: [], neutral aspects: ['footage']"
1663684015184830464,1523187569873330176,BLM - Crossing,C3-3,"ideology: 'left', pro entities: [], anti entities: ['republicans'], neutral entities: [] based on following aspects pro aspects: ['constitution'], anti aspects: [], neutral aspects: []"
1663612251897573378,908182447,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: [], neutral entities: [] based on following aspects pro aspects: ['democracy'], anti aspects: [], neutral aspects: []"
1663788320621744129,1235584294111850496,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: [], neutral entities: ['woman', 'president'] based on following aspects pro aspects: ['family'], anti aspects: [], neutral aspects: []"
1663980864873611284,328756439,BLM - Crossing,C3-2,"ideology: 'left', pro entities: [], anti entities: ['republicans'], neutral entities: [] based on following aspects pro aspects: ['love', 'freedom', 'life', 'liberty', 'vote'], anti aspects: ['gun'], neutral aspects: ['policies']"
